學年,學期,國家,學校,學院,學系
108年度,一學期,南韓,梨花女子大學,管理學院,財務金融學系
108年度,一學年,美國,加州大學,管理學院,財務金融學系
108年度,一學期,瑞士,聖加倫大學,管理學院,財務金融學系
108年度,一學期,日本,一橋大學,管理學院,國際企業學系
108年度,一學期,紐西蘭,奧克蘭大學,管理學院,國際企業學系
108年度,一學年,美國,喬治梅森大學,管理學院,國際企業學系
108年度,一學期,香港,香港大學,管理學院,國際企業學系
108年度,一學期,瑞典,優密歐大學,管理學院,資訊管理學系
108年度,一學年,德國,慕尼黑工業大學,電機資訊學院,電機工程學系
108年度,一學期,拉脫維亞,拉脫維亞大學,文學院,圖書資訊學系
108年度,一學期,中國大陸,北京大學,生物資源暨農學院,生物產業傳播暨發展學系
108年度,一學期,荷蘭,烏特列茲大學,生物資源暨農學院,生物產業傳播暨發展學系
108年度,一學年,法國,波爾多大學,生物資源暨農學院,生物產業傳播暨發展學系
108年度,一學年,日本,筑波大學,工學院,土木工程學系
108年度,一學期,瑞典,林雪平大學,社會科學院,社會學系
108年度,一學期,美國,康乃狄克大學,管理學院,工商管理學系
108年度,一學年,日本,東京大學,電機資訊學院,資訊工程學系
108年度,一學期,日本,一橋大學,社會科學院,社會工作學系
108年度,一學期,美國,天普大學,管理學院,會計學系
108年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),電機資訊學院,資訊工程學系
108年度,一學期,德國,康斯坦茨大學,電機資訊學院,電機工程學系
108年度,一學年,加拿大,女王大學,管理學院,財務金融學系
108年度,一學期,新加坡,新加坡科技與設計大學,社會科學院,經濟學系
108年度,一學期,德國,柏林洪堡大學,文學院,外國語文學系
108年度,一學期,美國,北卡羅來納大學教堂山分校,文學院,中國文學系
108年度,一學期,日本,京都大學,法律學院,法律學系
108年度,一學期,瑞典,優密歐大學,社會科學院,政治學系
108年度,一學期,中國大陸,北京大學,文學院,中國文學系
108年度,一學期,芬蘭,赫爾辛基大學,文學院,中國文學系
108年度,一學期,香港,嶺南大學,文學院,外國語文學系
108年度,一學期,義大利,聖心天主教大學,文學院,戲劇學系
108年度,一學年,日本,慶應義塾大學,文學院,日本語文學系
108年度,一學期,中國大陸,上海交通大學,社會科學院,政治學系
108年度,一學年,澳大利亞,汀肯大學,電機資訊學院,資訊工程學系
108年度,一學期,美國,紐約州立大學 阿爾伯尼分校,文學院,外國語文學系
108年度,一學年,瑞典,優密歐大學,社會科學院,社會學系
108年度,一學年,日本,青山學院大學,文學院,歷史學系
108年度,一學期,,,生物資源暨農學院,生物環境系統工程學系
108年度,一學期,中國大陸,武漢大學,理學院,地理環境資源學系
108年度,一學年,澳大利亞,澳洲國立大學,電機資訊學院,電機工程學系
108年度,一學期,德國,亞亨工業大學,工學院,機械工程學系
108年度,一學期,日本,國際教養大學,管理學院,工商管理學系
108年度,一學期,西班牙,馬德里大學,文學院,外國語文學系
108年度,一學年,芬蘭,赫爾辛基大學,生物資源暨農學院,園藝暨景觀學系
108年度,一學期,新加坡,南洋理工大學,管理學院,工商管理學系
108年度,一學年,加拿大,滑鐵盧大學,文學院,外國語文學系
108年度,一學期,日本,名古屋外國語大學,文學院,日本語文學系
108年度,一學年,日本,筑波大學,文學院,日本語文學系
108年度,一學期,南韓,延世大學,生物資源暨農學院,生物產業傳播暨發展學系
108年度,一學期,中國大陸,天津大學,生物資源暨農學院,森林環境暨資源學系
108年度,一學期,德國,柏林洪堡大學,理學院,物理學系
108年度,一學期,芬蘭,赫爾辛基大學,社會科學院,政治學系
